S No,Page URL,Meta Title,Meta Description ,Menu,April Month,,,,,,,,,,,,,May Month,,,,,,,,,,,,
,,,,, Clicks,Impression,CTR,Position,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue,Bounce rate,Month, Clicks,Impression,CTR,Position,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue,Bounce rate,month
,,,,,1120,28302,0.4893,391.21,4836,3348,38.429218,1085.921464,14341,0,0,4.260135,April,955,24972,0.5016,477.3,4836,3348,38.429218,1085.921464,14341,0,0,4.260135,May
1,https://www.tactivesoft.com/,All-in-One Construction ERP Software,"Integrated construction management software for tracking entire construction processes, aimed at maximum productivity and optimum resource utilisation.",Home,890,12803,6.95%,10.91,1471,864,1.702546,36.75,4634,0,0,0.345503,April,788,12858,6.13%,12.35,1471,864,1.702546,36.75,4634,0,0,0.345503,May
2,https://www.tactivesoft.com/construction-management-software/,Construction Management Software | Tactive ERP Software Systems,"Tactive all-in-one Construction Management ERP software simplifies operations, improves coordination, and transforms project data into actionable insights.",Modules,10,1932,0.52%,2.87,167,100,1.67,26.69,356,0,0,0.093023,April,8,1527,0.52%,2.88,167,100,1.67,26.69,356,0,0,0.093023,May
3,https://www.tactivesoft.com/construction-estimation-software/,Tactive construction Estimation software | Tender management system,Achieve higher accuracy using the past tender and project execution history for rate analysis with our construction estimation software.,Modules,1,216,0.46%,34.38,110,68,1.617647,57.77941176,294,0,0,0.176471,April,3,134,2.24%,39.89,110,68,1.617647,57.77941176,294,0,0,0.176471,May
4,https://www.tactivesoft.com/construction-scheduling-software/,Construction Scheduling and Budgeting Software | Tactive ERP,Create Zero-cost budgeting and smart resource allocation with Tactive Construction Scheduling Software. Explore more with a Free Demo.,Modules,0,313,0.00%,21.68,66,39,1.692308,54.94871795,153,0,0,0.172414,April,0,370,0.00%,35.88,66,39,1.692308,54.94871795,153,0,0,0.172414,May
5,https://www.tactivesoft.com/construction-project-management-software/,Construction Project Management Software System | Tactive ERP,Monitor and control your entire project lifecycle with Tactive construction project management software System for Builders.,Modules,3,218,1.38%,8.75,76,58,1.310345,61.20689655,191,0,0,0.271605,April,1,182,0.55%,7.54,76,58,1.310345,61.20689655,191,0,0,0.271605,May
6,https://www.tactivesoft.com/construction-procurement-software/,Construction Procurement Software | Tactive ERP Solution,"Tactive construction procurement software offers end-to-end control over purchase workflows, vendor management, and order tracking on a single ERP platform.",Modules,1,481,0.21%,28.11,49,31,1.580645,59.19354839,127,0,0,0.166667,April,1,315,0.32%,41.01,49,31,1.580645,59.19354839,127,0,0,0.166667,May
7,https://www.tactivesoft.com/construction-inventory-software/,Construction Inventory Management Software | Tactive ERP,"Streamline material handling with leading construction inventory management software. Track, manage, and control materials with ease across every site.",Modules,2,464,0.43%,29.32,47,23,2.043478,146.0869565,105,0,0,0.219512,April,1,728,0.14%,55.16,47,23,2.043478,146.0869565,105,0,0,0.219512,May
8,https://www.tactivesoft.com/construction-equipment-management-software/,Construction Equipment Management Software | Tactive ERP,"Tactive construction equipment management software—procure, operate, maintain your assets & monitor productivity with full control over owned/hired equipment.",Modules,0,154,0.00%,20.53,24,16,1.5,32.1875,53,0,0,0.227273,April,0,163,0.00%,32.5,24,16,1.5,32.1875,53,0,0,0.227273,May
9,https://www.tactivesoft.com/construction-payroll-software/,Construction Payroll Software | Construction HR Software | Tactive,"Looking for HR & Payroll Software for construction? Tactive Construction ERP Software simplifies workforce tracking, payroll, and compliance.",Modules,5,190,2.63%,6.47,39,30,1.3,36.33333333,83,0,0,0.030303,April,1,73,1.37%,14.58,39,30,1.3,36.33333333,83,0,0,0.030303,May
